インタフェースは「クラスに、これらのメソッドを必ず持ってね」と約束だけを書く型であり、{{c1::標準実装は基本的に持たない}}。	インタフェースは「何ができるか」という操作の一覧だけを決め、具体的な処理はクラスに任せるための仕組みです。標準実装を持たないおかげで、クラス側で自由に実装を差し替えられます。	java インタフェース Chapter5
インタフェースの{{c1::defaultメソッド}}は、「インタフェース側がとりあえずこの動きにしておくね」という標準実装付きのメソッドである。	`default`メソッドを使うと、インタフェースに「おおよその標準動作」を書いておき、必要なクラスだけオーバーライドするという設計ができます。既存コードに影響を与えずにインタフェースを進化させる用途でも重要です。	java インタフェース default Chapter5
Java 9以降、インタフェース内で{{c1::privateメソッド}}を使う主な目的は、複数のdefaultメソッドで共通の処理をまとめることである。	インタフェースの外部に見せたくない共通ロジックを`private`メソッドとして隠しておき、`default`メソッドからだけ呼び出します。これにより、インタフェースのAPIはシンプルなまま、内部の重複コードを減らせます。	java インタフェース private Chapter5
全てのクラスの親が{{c1::Object}}であるため、インタフェースに`toString()`などを書いても、新しいメソッドを増やしているわけではなく、既存メソッドをインタフェースとして約束し直しているだけである。	`Object`由来メソッドはもともとすべてのクラスに備わっているので、インタフェースに書くと「このインタフェースでも`toString()`の契約を守ること」と明示する効果になります。	java Object インタフェース Chapter5
抽象クラスは「完全な設計図ではなく途中まで書いた設計図」というイメージで、{{c1::直接newできない}}。	抽象クラス単体では処理が未完成のため、そのままインスタンスは作れません。必ずサブクラスで不足している部分（抽象メソッド）を実装してから使う前提になっています。	java 抽象クラス Chapter5
抽象メソッドは本体がなく、{{c1::シグニチャだけが書かれている}}メソッドである。	抽象メソッドは「どんなメソッドを持っているか」だけを親クラスが決め、「どう実装するか」はサブクラスに委ねるための仕組みです。これにより、共通インタフェースを強制しつつ柔軟な実装を許容できます。	java 抽象メソッド Chapter5
抽象クラスを継承した具象クラスは、抽象メソッドを{{c1::すべてオーバーライドする義務}}がある。	具象クラスは完全な設計図なので、抽象メソッドを残しておくことはできません。親が定めた「実装しておくべきメソッド」をすべて埋めることで、はじめてインスタンス化可能なクラスになります。	java 抽象クラス 具象クラス Chapter5
オーバーライドでは、親と子でメソッド名と引数リスト（型・個数・順番）が{{c1::完全に同じ}}でなければならない。	少しでもシグニチャが違うと別メソッド扱いになり、親のメソッドを上書きできません。「シグニチャが同じならオーバーライド、違えばオーバーロード」という区別を意識しましょう。	java オーバーライド シグニチャ Chapter5
オーバーライド時、アクセス修飾子は「親より{{c1::狭く}}してはいけない」というルールがある。	親型で公開されていたメソッドを、子クラス側で見えにくくしてしまうと、親型として扱ったときに呼べなくなり、一貫性が崩れます。必ず「同じか、より広い」アクセスレベルにとどめる必要があります。	java オーバーライド アクセス修飾子 Chapter5
親子で同名フィールドを持つ場合、参照されるフィールドは「変数の{{c1::型}}」で決まり、実オブジェクトの型では切り替わらない。	`Parent p = new Child(); System.out.println(p.name);`のように書くと、`p`の型は`Parent`なので、`Parent`側の`name`が参照されます。フィールドは動的ディスパッチの対象でない点が、メソッドと大きく異なります。<br><br>例：<br>class Parent {<br>    String name = "parent";<br>}<br>class Child extends Parent {<br>    String name = "child";<br>}<br>Parent p = new Child();<br>System.out.println(p.name); // parent	java フィールド 変数型 Chapter5
メソッドがどの実装になるかは「変数の型」ではなく、{{c1::実オブジェクトの型}}で決まる。	同じく`Parent p = new Child(); p.getName();`のような場合、`p`は`Parent`型ですが、中身が`Child`なので`Child`でオーバーライドされた`getName()`が実行されます。これはポリモーフィズムの要となる挙動です。<br><br>例：<br>class Parent {<br>    String getName() { return "parent"; }<br>}<br>class Child extends Parent {<br>    String getName() { return "child"; }<br>}<br>Parent p = new Child();<br>System.out.println(p.getName()); // child	java メソッド 多態性 Chapter5
ポリモーフィズムでは「親型の変数にいろいろな子クラスのインスタンスを入れる」ことで、共通の操作を{{c1::同じコード}}で扱える。	例えば`List<Shape>`に`Circle`や`Rectangle`を混在させておき、`for`ループで`area()`だけを呼ぶ、といったコードが書けます。追加する図形の種類が増えても、ループ側の処理を変えずに済むのが利点です。<br><br>例：<br>Animal a = new Dog();<br>a.move();<br>a = new Cat();<br>a.move();	java 多態性 Chapter5
インタフェース型`Drawable[]`の各要素には、{{c1::Drawableを実装しているクラス}}のインスタンスなら何でも代入できる。	配列要素にも代入互換性のルールが適用され、インタフェースに代入して安全な型だけが受け入れられます。これにより、配列を通じてインタフェース型として統一的に扱えます。	java インタフェース 配列 Chapter5
アップキャスト（上方向の型変換）は、子クラスから親クラスへの変換であり、{{c1::常に安全なので自動で行われる}}。	`Dog`は`Animal`の一種なので、`Animal`として扱っても破綻しません。そのためコンパイラはキャストを書かなくても自動的にアップキャストしてくれます。<br><br>例：<br>Dog d = new Dog();<br>Animal a = d;	java アップキャスト Chapter5
ダウンキャスト（下方向の型変換）は、親クラスから子クラスへの変換であり、危険があるため{{c1::明示的キャスト}}が必須である。	親から子へは「本当にその型かどうか」が保証されないため、キャストを書く側が責任を負う必要があります。中身が別のサブクラスなら、実行時に例外が発生してしまいます。<br><br>例：<br>Animal a = new Dog();<br>Dog d = (Dog) a;	java ダウンキャスト Chapter5
`ClassCastException`は、実際の中身の型と{{c1::キャスト先の型}}が一致しないときに実行時に発生する。	コンパイラは変数の静的型までしか分からないため、`(Dog) a`のようなキャスト自体は通してしまう場合があります。実際のオブジェクトが`Dog`でないとき、実行時に`ClassCastException`として検出されます。<br><br>例：<br>Animal a = new Cat();<br>Dog d = (Dog) a; // 実行時にClassCastException	java ClassCastException Chapter5
`instanceof`を使うことで、キャスト前に{{c1::実際の型をチェック}}して`ClassCastException`を防げる。	`if (a instanceof Dog)`と条件を絞ることで、「このブロックに入るときは必ず`Dog`である」と保証したうえでキャストできます。条件を誤ると意味がなくなるので、論理を意識して書く必要があります。<br><br>例：<br>if (a instanceof Dog) {<br>    Dog d = (Dog) a;<br>}	java instanceof ClassCastException Chapter5
コンストラクタ引数とフィールド名が同じ場合、`this.name = name;`のように{{c1::this.}}を付けてフィールド側を明示する必要がある。	スコープの衝突を避けるため、フィールド名と引数名を同じにするときは常に`this.`を付けるクセをつけると安全です。`this`を付けることで「フィールド側に代入している」ことがはっきりします。	java this フィールド Chapter5
