"コードを読むときに最初に確認すべき観点は何か？","構文レベル（文法レベル）でおかしくないかを最初に確認する。<br><br>【解説】<br>いきなり実行結果やロジックを追うのではなく、まず「このコードは文章として成り立っているか？」をチェックする。<br>`class` や `if`、`{}`、`;` などが正しく並んでいないと、そもそもコンパイルが通らないため、実行時の挙動を考えても意味がない。","java code-reading compile-order basic syntax"
"文法レベル（構文レベル）のチェックで確認すべきキーワードや記号には何があるか？","`class` / `if` / `{` / `}` / `;` などが正しく閉じているか・対応しているかを確認する。<br><br>【解説】<br>構文レベルでは、構造を形作るキーワードや記号が正しく対応しているかを確認する。<br>`{` と `}` の対応が崩れていたり、`;` が抜けていたりすると、コンパイラはソースコードを正しく構文解析できない。","java code-reading syntax basic"
"文法レベルのチェックでメソッド宣言について何を確認すべきか？","メソッド宣言が正しい形（戻り値の型・メソッド名・引数リスト・本体ブロックなど）になっているかを確認する。<br><br>【解説】<br>例えば、戻り値の型が抜けていたり、丸括弧や波括弧が対応していないと、コンパイルエラーになる。<br>メソッド宣言が正しくないと、そのメソッドを呼び出す以前にソースコードとして無効になる。","java code-reading syntax basic"
"`return` 文について文法レベルでどのような点を確認すべきか？","`return` の位置がおかしくないか、`return` の後ろに文が不適切に続いていないかを確認する。<br><br>【解説】<br>構文として `return` の後にコードが書かれていると、言語仕様やコンパイラによってはエラーや警告の対象となる。<br>特にJavaでは、`return` の後に到達不能なコードがある場合はコンパイルエラー（到達不能コード）として扱われる。","java code-reading syntax reachability basic"
"構文ミスを見つけた場合、実行結果についてはどのように扱うべきか？","構文ミスがあれば、その時点で「実行結果」を考えるのは打ち切りにし、実行結果は考えない。<br><br>【解説】<br>構文エラーがあるコードはコンパイルすら通らないため、実行されることがない。<br>したがって、「このコードはどう動くか？」を考える前に、「そもそもコンパイルが通るか？」を優先し、通らないと分かったら実行結果の検討は不要になる。","java code-reading syntax mindset basic"
"コードを読むときの2番目のチェック観点は何か？","2番目は「型レベル（型チェック）」でおかしくないかを見る。<br><br>【解説】<br>構文が正しいことを確認した後、次に「型の整合性」を確認する。<br>これは、メソッド呼び出しや代入などで、型が一致しているか、解釈に曖昧さがないかを調べる段階である。","java code-reading compile-order type-check basic"
"型レベルのチェックではメソッド呼び出しについてどのような点を確認するか？","メソッド呼び出しの引数の型が宣言されたパラメータ型と一致しているかを確認する。<br><br>【解説】<br>例えば、`fill(Box box)` というメソッドに対して `fill(b.value)` のように `int` を渡していないかを確認する。<br><pre><code>class Box {}<br>void fill(Box box) { /*...*/ }<br>int value = 10;<br>// 誤りの例<br>fill(value); // int を渡しており Box と型が一致しない</code></pre>","java code-reading type-check basic"
"型レベルのチェックにおいて、代入文では何を確認すべきか？","代入の左右の型が一致しているか、互換性があるかを確認する。<br><br>【解説】<br>例えば、`String s = 10;` のように、本来 `String` 型が求められるところに `int` リテラルを代入するのは型エラーになる。<br><pre><code>// 誤りの例<br>String s = 10; // int を String に代入しようとしている</code></pre>","java code-reading type-check basic"
"オーバーロードされたメソッド呼び出しについて型レベルでどんな問題を確認するか？","オーバーロード呼び出しで解決不能になっていないか、あるいは候補が曖昧になっていないかを確認する。<br><br>【解説】<br>複数のオーバーロードが存在し、引数の型からどれを呼ぶべきかコンパイラが一意に決められない場合、コンパイルエラーになる。<br>そのため、オーバーロードの設計や呼び出し側の引数の型に注意を払う必要がある。","java code-reading type-check basic"
"型エラーを発見した場合、実行結果についてはどう扱うべきか？","型エラーがあれば、その時点で「実行結果」を考えず、「どこが型的にダメか」を特定することに集中する。<br><br>【解説】<br>型エラーがあるコードもコンパイルが通らないため実行されない。<br>よって、型エラーが発見された時点で「どう動くか」ではなく「なぜコンパイルが通らないか」を説明できるようにすることが重要である。","java code-reading type-check mindset basic"
