"前置インクリメント {{c1::++x}} は、式が評価される「{{c2::前}}」に変数の値を1増やし、その結果を式の値として返す。","【解説】<br>後置（x++）は「式が評価された後」に1増やし、「増やす前の値」を式の値として返す。Javaでは評価順序が決まっているため、同じ式は常に同じ結果になる。貯金箱の例え：++xは「コインを1枚入れてから残高を見る」、x++は「残高をメモしてからコインを1枚入れる」。<br><pre><code>int x = 5;<br>int a = ++x;   // xは6、aも6<br>int b = x++;   // bは6（増やす前）、その後xは7</code></pre>","java Chapter3 cloze increment"
"後置インクリメント {{c1::x++}} は、式が評価された「{{c2::後}}」に変数の値を1増やし、「{{c3::増やす前の値}}」を式の値として返す。","【解説】<br>前置（++x）は先に増やしてからその値を返す。x = x++ や x = x++ + ++x のように同一変数を式内で何度もインクリメントすると読み出し・書き戻しのタイミングが混乱しやすい。実務では一時変数や複数行に分けて書くことが推奨される。<br><pre><code>int b = x++;   // 式の値は増加前、その後xが更新</code></pre>","java Chapter3 cloze increment"
"Objectクラスのequalsのシグネチャは {{c1::public boolean equals(Object obj)}} であり、独自の等価性を定義する場合はこのシグネチャを保って{{c2::オーバーライド}}する必要がある。","【解説】<br>boolean equals(MyClass other) のように引数型を変えるとオーバーロードになり、Map・Setは equals(Object) を呼ぶため期待通りに動かない。nullの扱いでは、null側からequalsを呼ぶとNullPointerExceptionになるため、非null側から呼ぶか Objects.equals(a, b) を使う。<br><pre><code>@Override<br>public boolean equals(Object obj) {<br>    if (this == obj) return true;<br>    if (!(obj instanceof Person other)) return false;<br>    return name.equals(other.name);<br>}</code></pre>","java Chapter3 cloze equals"
"equalsをオーバーライドするときは、ハッシュベースのコレクションで一貫した動作のために {{c1::hashCode}} も対応させてオーバーライドする必要がある。","【解説】<br>equalsで等しいと判定するオブジェクトはhashCodeも同じ値を返す必要がある。boolean equals(MyClass other) だけを実装して「equalsを作った」と思い込むと、SetやMapで重複判定が期待通りにならない。Objects.equals(a, b) でnull安全な比較ができる。<br><pre><code>@Override<br>public int hashCode() {<br>    return name.hashCode();<br>}</code></pre>","java Chapter3 cloze equals hashCode"
"ブール値に対して {{c1::&&}} は左辺がfalseのとき右辺を評価しない（短絡評価）が、{{c2::&}} は両辺を必ず評価する。","【解説】<br>条件分岐で & と && を混同すると、a != null && a.method() のようにnullチェックより先にメソッドを呼んでNullPointerExceptionを起こすことがある。右辺に副作用や高コストな処理がある場合は && の短絡評価が安全かつ効率的。<br><pre><code>boolean r1 = isRaining && checkUmbrella(); // 左辺がfalseなら右辺は呼ばれない<br>boolean r2 = isRaining & checkUmbrella();  // 必ず両方評価</code></pre>","java Chapter3 cloze bitwise logical"
"if文で中カッコを省略した場合、条件が真のときに実行されるのは「{{c1::直後に続く1文}}」だけであり、それ以降の文は{{c2::常に}}実行される。","【解説】<br>複数の文をifの対象にしたい場合は必ず { } でブロックを作る。インデントに頼って複数行がifの中にあるように見せても、実際の動作はインデントに依存しない。スタイルガイドでは1文でも {} を付けることが推奨されることが多い。<br><pre><code>if (isRaining)<br>    bringLaundryIn();<br>    closeWindow();  // 常に実行される</code></pre>","java Chapter3 cloze if block"
"switch文の式に使える型には、byte, short, char, int とそのラッパー、{{c1::enum}}、{{c2::String}} があるが、{{c3::long}} は使えない。","【解説】<br>long, float, double, boolean はswitchの式として使用できない。caseラベルにはコンパイル時定数式のみが書ける。enumはコンパイラが内部的に整数にマッピングできるためswitchで使える。<br><pre><code>enum Season { SPRING, SUMMER, AUTUMN, WINTER }<br>switch (s) {<br>    case SPRING -> System.out.println(\"花見の季節\");<br>    ...<br>}</code></pre>","java Chapter3 cloze switch type"
"switch式では、すべての実行経路で値が決まる「{{c1::網羅性}}」が求められ、enumの全列挙子をcaseで列挙すれば{{c2::default}}は不要である。","【解説】<br>switch式は必ず値を返す式であるため、一部のcaseだけで値を返し他は何もしない書き方はできない。整数やStringなど値の範囲が広い型ではdefaultで「その他すべて」を指定する必要がある。<br><pre><code>String action = switch (light) {<br>    case RED -> \"止まる\";<br>    case YELLOW -> \"注意して準備\";<br>    case GREEN -> \"進む\";<br>};</code></pre>","java Chapter3 cloze switch expression"
"for文の初期化部で変数宣言を複数書く場合は「{{c1::同じ型}}」である必要があり、条件部にはブール式を「{{c2::1つだけ}}」書ける。","【解説】<br>C言語と異なり、for (i=0, j=0; i<n, j<m; ...) のように条件部でカンマで複数条件を書く構文はJavaには存在しない。int i = 0, long j = 0L; のように異なる型を初期化部に混在させるとコンパイルエラー。<br><pre><code>for (int i = 0, j = 10; i < j; i++, j--) {<br>    System.out.println(i + \", \" + j);<br>}</code></pre>","java Chapter3 cloze for loop"
"拡張for文（for-each）の一時変数に代入し直しても、元の{{c1::配列}}や{{c2::コレクション}}の要素は書き換わらない。","【解説】<br>プリミティブの場合は値のコピー、参照型の場合は参照のコピーが一時変数に渡される。一時変数への代入はローカル変数を書き換えるだけで、コンテナ側には影響しない。配列の中身を変更したい場合は通常のforで添字を使い array[i] = ... とする。<br><pre><code>int[] nums = {1, 2, 3};<br>for (int n : nums) {<br>    n = n * 10;  // nums は {1, 2, 3} のまま<br>}</code></pre>","java Chapter3 cloze foreach"
"{{c1::do-while}} 文は本体を少なくとも1回は実行してから条件判定し、{{c2::while}} 文は最初に条件判定してから本体を実行する。","【解説】<br>条件が最初から偽の場合、whileでは本体は0回、do-whileでは1回実行される。do-whileの末尾にはセミコロン（while (条件);）が必要。自販機の例：do-whileは「1回は必ずお金を入れてボタンを押す」、whileは「お金を持っているか先に確認し、持っていなければ何もしない」。<br><pre><code>do {<br>    System.out.println(\"一度は必ず表示される\");<br>    count++;<br>} while (count < 0);</code></pre>","java Chapter3 cloze do-while"
