"Javaのrecordは、主に {{c1::不変データを保持して運ぶ}} ことを目的とした特別なクラスである。","【解説】<br>recordはデータキャリア用途に最適化された構文です。<br><pre><code>public record Person(String name, int age) {}</code></pre>","java record cloze purpose"
"recordは Java {{c1::14}} でプレビュー機能として登場した。","【解説】<br>初期段階ではpreviewとして提供されました。<br><pre><code>// Java 14 preview</code></pre>","java record cloze history"
"recordは Java {{c1::16}} で正式導入された。","【解説】<br>正式導入後は標準機能として利用できます。<br><pre><code>// Java 16 standard feature</code></pre>","java record cloze history"
"record正式導入のJEP番号は {{c1::395}} である。","【解説】<br>仕様の原典を追うときの識別子です。<br><pre><code>// JEP 395</code></pre>","java record cloze history"
"従来POJOでは、データ保持だけでも {{c1::ボイラープレートコード}} が多くなりやすい。","【解説】<br>記述負荷の高さがrecord導入動機の1つです。<br><pre><code>public Person(String name, int age) { ... }<br>public String getName() { ... }</code></pre>","java record cloze comparison"
"従来POJOのボイラープレートは、手書きだけでなく {{c1::IDE生成}} に頼ることも多い。","【解説】<br>記述主体が人かIDEかに関わらず、定型コード量が増える点は同じです。<br><pre><code>// constructor/getter/equals/hashCode/toString generated by IDE</code></pre>","java record cloze comparison"
"recordでは `public record Person(String name, int age) {}` のように、ほぼ同等機能を {{c1::1行}} で定義できる。","【解説】<br>宣言ベースで必要機能を得られます。<br><pre><code>public record Person(String name, int age) {}</code></pre>","java record cloze comparison"
"recordヘッダの `String name, int age` のような要素は {{c1::コンポーネント}} と呼ばれる。","【解説】<br>以降の自動生成の基準になる宣言です。<br><pre><code>public record Person(String name, int age) {}</code></pre>","java record cloze component"
"record宣言時、各コンポーネントに対応する {{c1::private finalなインスタンスフィールド}} が自動生成される。","【解説】<br>明示記述しなくても不変フィールドが定義されます。<br><pre><code>public record Person(String name, int age) {}</code></pre>","java record cloze generated"
"record宣言時、全フィールドを初期化する {{c1::正規コンストラクタ（Canonical Constructor）}} が自動生成される。","【解説】<br>コンポーネント順で受け取り初期化する標準コンストラクタです。<br><pre><code>Person p = new Person(\"Alice\", 30);</code></pre>","java record cloze generated"
"record宣言時、値取得用の {{c1::アクセサメソッド}} が自動生成される。","【解説】<br>ゲッター相当ですが命名規則が異なります。<br><pre><code>System.out.println(new Person(\"Alice\", 30).name());</code></pre>","java record cloze generated"
"recordアクセサの命名は `getName()` ではなく {{c1::name()}} 形式である。","【解説】<br>メソッド名はコンポーネント名と同一になります。<br><pre><code>Person p = new Person(\"Alice\", 30);<br>p.name();</code></pre>","java record cloze accessor"
"recordの `equals(Object)` は {{c1::全フィールド値が等しい}} とき true を返す。","【解説】<br>値オブジェクトとしての比較意味論を提供します。<br><pre><code>Person p1 = new Person(\"Alice\", 30);<br>Person p2 = new Person(\"Alice\", 30);<br>p1.equals(p2); // true</code></pre>","java record cloze equals"
"recordの `hashCode()` は {{c1::全フィールド値}} を基に計算される。","【解説】<br>equalsとの整合性を保つため、比較対象フィールド群に対応します。<br><pre><code>@Override<br>public int hashCode() { /* based on fields */ }</code></pre>","java record cloze hashcode"
"recordの `toString()` は {{c1::クラス名と全フィールド値}} を出力する。","【解説】<br>標準出力例として `Person[name=Alice, age=30]` が示されています。<br><pre><code>System.out.println(new Person(\"Alice\", 30));<br>// Person[name=Alice, age=30]</code></pre>","java record cloze tostring"
"`Person p1 = new Person(\"Alice\", 30);` の後、`p1.name()` は {{c1::\"Alice\"}} を返す。","【解説】<br>nameコンポーネントのアクセサ呼び出し結果です。<br><pre><code>Person p1 = new Person(\"Alice\", 30);<br>System.out.println(p1.name());</code></pre>","java record cloze example"
"`p1.equals(p2)` が true になる条件は、`p1` と `p2` の {{c1::フィールド値が同一}} であること。","【解説】<br>参照が別でも値が同じなら等価になります。<br><pre><code>Person p1 = new Person(\"Alice\", 30);<br>Person p2 = new Person(\"Alice\", 30);<br>System.out.println(p1.equals(p2)); // true</code></pre>","java record cloze example"
"recordのインスタンスフィールドは暗黙的に {{c1::final}} である。","【解説】<br>生成後変更不可という不変性の中核仕様です。<br><pre><code>public record Person(String name, int age) {}</code></pre>","java record cloze immutable"
"recordでは生成後の値変更（例: セッター作成）は {{c1::できない}}。","【解説】<br>mutable設計が必要なら通常クラスを検討します。<br><pre><code>// setter is not part of record's generated API</code></pre>","java record cloze immutable"
"recordクラス自体は暗黙的に {{c1::final}} である。","【解説】<br>そのため継承元として使えません。<br><pre><code>public record Person(String name, int age) {}</code></pre>","java record cloze inheritance"
"recordを他クラスに継承させることは {{c1::できない}}。","【解説】<br>`extends RecordType` のような派生は不可能です。<br><pre><code>// class Child extends Person { } // compile error</code></pre>","java record cloze inheritance"
"すべてのrecordは暗黙的に {{c1::java.lang.Record}} を継承する。","【解説】<br>record固有の基底型が既定で固定されています。<br><pre><code>// implicit superclass: java.lang.Record</code></pre>","java record cloze inheritance"
"recordは他の親クラスを `extends` で継承することが {{c1::できない}}。","【解説】<br>単一継承の制約と暗黙基底型により禁止されます。<br><pre><code>// public record X(...) extends SomeClass {} // not allowed</code></pre>","java record cloze inheritance"
"recordで `implements` によるインターフェース実装は {{c1::可能}} である。","【解説】<br>継承は不可でもインターフェース契約は利用できます。<br><pre><code>public record Person(String name, int age) implements java.io.Serializable {}</code></pre>","java record cloze interface"
"recordでは、ヘッダ定義外の新規 {{c1::インスタンスフィールド}} は追加できない。","【解説】<br>状態定義の一元化がrecordの性質です。<br><pre><code>public record Person(String name, int age) {<br>    // private String nickname; // not allowed<br>}</code></pre>","java record cloze field-rule"
"recordに {{c1::staticフィールド}} を追加することは可能である。","【解説】<br>禁止対象はインスタンスフィールドの追加です。<br><pre><code>public record Person(String name, int age) {<br>    static final String SPECIES = \"Human\";<br>}</code></pre>","java record cloze field-rule"
"値検証を簡潔に書くために使う構文は {{c1::コンパクト・コンストラクタ}} である。","【解説】<br>生成時不変条件の検証に使います。<br><pre><code>public record Person(String name, int age) {<br>    public Person { ... }<br>}</code></pre>","java record cloze constructor"
"コンパクト・コンストラクタでは {{c1::引数宣言}} を省略できる。","【解説】<br>ヘッダ定義済みコンポーネントをそのまま使えます。<br><pre><code>public Person {<br>    // parameters are implicit<br>}</code></pre>","java record cloze constructor"
"コンパクト・コンストラクタでは `this.name = name;` のような {{c1::代入記述}} を省略できる。","【解説】<br>代入コードはコンパイラが補います。<br><pre><code>public Person {<br>    if (age < 0) throw new IllegalArgumentException(\"...\");<br>}</code></pre>","java record cloze constructor"
"コンパクト・コンストラクタ例では `age < 0` のとき {{c1::IllegalArgumentException}} を送出する。","【解説】<br>不正年齢を早期に拒否しています。<br><pre><code>if (age < 0) {<br>    throw new IllegalArgumentException(\"年齢は0以上である必要があります\");<br>}</code></pre>","java record cloze constructor"
"コンパクト・コンストラクタ例では `name == null || name.isBlank()` のとき {{c1::IllegalArgumentException}} を送出する。","【解説】<br>名前必須という制約を実装しています。<br><pre><code>if (name == null || name.isBlank()) {<br>    throw new IllegalArgumentException(\"名前は必須です\");<br>}</code></pre>","java record cloze constructor"
"recordには独自の {{c1::インスタンスメソッド}} を追加できる。","【解説】<br>例として `isAdult()` が示されています。<br><pre><code>public boolean isAdult() {<br>    return age >= 18;<br>}</code></pre>","java record cloze methods"
"recordには独自の {{c1::静的メソッド}} を追加できる。","【解説】<br>通常クラスと同様に型レベルの補助ロジックを持たせられます。<br><pre><code>public record Person(String name, int age) {<br>    public static Person of(String name, int age) { return new Person(name, age); }<br>}</code></pre>","java record cloze methods"
"recordでは自動生成された `toString` などを {{c1::オーバーライド}} できる。","【解説】<br>表示形式のカスタマイズが可能です。<br><pre><code>@Override<br>public String toString() {<br>    return name + \"さん (\" + age + \"歳)\";<br>}</code></pre>","java record cloze methods"
"`isAdult()` の判定条件は `age {{c1::>= 18}}` である。","【解説】<br>年齢18以上を成人とみなす実装例です。<br><pre><code>public boolean isAdult() {<br>    return age >= 18;<br>}</code></pre>","java record cloze methods"
"利用推奨ケースの1つは、DB取得結果を表す {{c1::DTO}} である。","【解説】<br>転送用途の不変データとrecordは相性が良いです。<br><pre><code>public record UserDto(String id, String email) {}</code></pre>","java record cloze usecase"
"利用推奨ケースの1つは、{{c1::APIのレスポンス/リクエストデータ}} である。","【解説】<br>シリアライズ対象のデータ構造に適しています。<br><pre><code>public record CreateUserRequest(String name, int age) {}</code></pre>","java record cloze usecase"
"利用推奨ケースの1つは、メソッドから複数値を返すための {{c1::戻り値用の型}} である。","【解説】<br>タプル的用途を型安全に表現できます。<br><pre><code>public record Pair(int left, int right) {}</code></pre>","java record cloze usecase"
"利用推奨ケースの1つは、{{c1::設定値の保持}} である。","【解説】<br>起動時固定の構成値表現に向きます。<br><pre><code>public record AppConfig(String host, int port) {}</code></pre>","java record cloze usecase"
"record非推奨ケースの1つは、{{c1::ミュータブルなオブジェクト}} を表現したい場合である。","【解説】<br>状態遷移が主目的なら通常クラスの方が自然です。<br><pre><code>class MutableState {<br>    int value;<br>    void setValue(int v) { value = v; }<br>}</code></pre>","java record cloze anti-pattern"
"record非推奨ケースの1つは、{{c1::継承ツリーに組み込む必要}} がある場合である。","【解説】<br>recordは継承元/継承先としての柔軟性が制限されています。<br><pre><code>// requires class hierarchy -> use normal class</code></pre>","java record cloze anti-pattern"
"record活用の効果は、コードを {{c1::簡潔}} にし、データ中心の可読性を高めることである。","【解説】<br>最終段の結論として、意図明確化と保守性向上が示されています。<br><pre><code>public record Person(String name, int age) {}</code></pre>","java record cloze conclusion"
