 "`static`フィールドはクラスロード時に{{c1::クラスごとの領域（メタデータ領域＋静的領域）}}に配置され、インスタンスごとの{{c2::ヒープ領域}}には含まれない。","【解説】<br>`static`フィールドはクラス単位で1つだけ存在し、インスタンスとは独立した場所に置かれる。そのためインスタンスを経由せずクラス名だけでアクセスできる。<br><pre><code>class Config {<br>    static String appName = \"MyApp\";<br>}<br>String name = Config.appName;</code></pre>","java chapter4 static cloze"
 "`static`フィールドは{{c1::クラス名.フィールド名}}の形でアクセスするのが推奨される。","【解説】<br>インスタンスからもアクセスできるが、それは概念的に誤解を生みやすい。クラスに属することを強調するため、`Config.appName`のようにクラス名からアクセスする。<br><pre><code>String name = Config.appName; // 推奨</code></pre>","java chapter4 static cloze"
 "`static`メソッドが呼ばれるとき、JVMは{{c1::this参照}}を持たないため、非`static`メンバを{{c2::直接}}参照できない。","【解説】<br>非`static`フィールドやメソッドは特定インスタンスに紐づく情報であり、`this`なしにはどのインスタンスか特定できない。そのため`static`メソッドからの暗黙参照は禁止されている。","java chapter4 static cloze"
 "`Counter`クラスで`static int totalCount`と`int myCount`があるとき、`static void resetTotal()`から直接変更できるのは{{c1::totalCount}}だけである。","【解説】<br>`resetTotal`は`static`メソッドなので、インスタンスフィールド`myCount`には触れられない。`myCount`を変更したければ、インスタンスメソッドから行う必要がある。<br><pre><code>static void resetTotal() {<br>    totalCount = 0; // OK<br>    // myCount = 0; // NG: どのインスタンスかわからない<br>}</code></pre>","java chapter4 static cloze"
 "インスタンスメソッド`addOne()`では、`myCount++`だけでなく{{c1::totalCount++}}も実行できる。","【解説】<br>インスタンスメソッドは`this`を持つため、自分の`myCount`とクラス全体の`totalCount`の両方を更新できる。これにより「自分の数」と「全体の数」を同時に管理する処理が書ける。<br><pre><code>void addOne() {<br>    myCount++;<br>    totalCount++;<br>}</code></pre>","java chapter4 static cloze"
 "可変長引数は宣言時に{{c1::型の直後}}に`...`を付け、引数リストの{{c2::最後の位置}}に1つだけ置ける。","【解説】<br>コンパイラは可変長引数を配列として扱うため、どこからどこまでを配列にまとめるかを明確にする必要がある。そのため途中に置いたり複数置いたりすることは許されない。<br><pre><code>void printAll(String... words) { ... } // OK<br>void bad(String... a, int x) { ... }   // NG</code></pre>","java chapter4 varargs cloze"
 "`void`メソッドで`if (!polite) { ... return; /* ここ */ }`のようなコードを書くと、`return;`の直後に書いた文は{{c1::到達不能コード}}としてコンパイルエラーになる。","【解説】<br>到達可能性解析により、`return;`の後の文には制御が到達しないと判断される。`void`メソッドだからではなく、「実行経路が存在しない」ことがエラーの原因である。<br><pre><code>if (!polite) {<br>    System.out.println(\"No greeting.\");<br>    return;<br>    // System.out.println(\"ここは到達不能\");<br>}</code></pre>","java chapter4 return cloze"
 "Javaは{{c1::静的型付け言語}}であり、コンパイルに成功しない限り{{c2::JVM上での実行}}には至らない。","【解説】<br>そのため、表示内容やロジックを考える前に「そもそもコンパイルが通るか」を確認することが重要である。コンパイルエラーを無視した議論は意味がない。","java chapter4 compile cloze"
 "`public record User(String name, int age) { {{c1::static int instanceCount;}} }`のように、`static`フィールドの追加は{{c2::許可される}}が、`int secret;`のような{{c3::インスタンスフィールド}}の追加はコンパイルエラーになる。","【解説】<br>レコードのインスタンス状態はヘッダのコンポーネントだけで表される設計になっているため、追加インスタンスフィールドは禁止されている。一方、クラスレベルの`static`メンバはこの制約の対象外である。<br><pre><code>public record User(String name, int age) {<br>    static int instanceCount;      // OK<br>    // int secret;                // NG<br>}</code></pre>","java chapter4 record cloze"
 "`public record Point(int x, int y) {}`や`record Line(...) {}`は合法だが、`{{c1::private}} record Hidden(int x) {}`はコンパイルエラーになる。","【解説】<br>トップレベル宣言に使える修飾子は`public`か修飾子なしだけであり、`private`や`protected`は意味を持たないため禁止されている。これは通常のトップレベルクラスと同じルールである。","java chapter4 record cloze"
 "レコード`Range(int from, int to)`に`public Range(int value) { this(value, value); }`を定義するのは、{{c1::from}}と{{c2::to}}の両方を初期化しているため合法である。","【解説】<br>代替コンストラクタでは、最終的に全コンポーネントが初期化されている必要がある。`this(value, value);`を呼ぶことで、正規コンストラクタ経由で`from`と`to`が両方セットされる。<br><pre><code>public record Range(int from, int to) {<br>    public Range(int value) {<br>        this(value, value);<br>    }<br>}</code></pre>","java chapter4 record cloze"
 "`public record Temperature(int celsius) { public Temperature { if (celsius < -273) ... } }`のようなコンパクトコンストラクタでは、{{c1::celsius}}は{{c2::パラメータ}}として参照し、`{{c3::this.celsius}}`は使えない。","【解説】<br>コンパクトコンストラクタ本体ではまだフィールドへの暗黙代入が行われていないとみなされるため、`this.celsius`というフィールド参照は許可されない。バリデーションなどはパラメータ名を直接使って行う。","java chapter4 record cloze"
 "`record User(String name) implements Named`で、`Named`に`default int name()`があると、レコードの自動生成`name(): String`と戻り値型が衝突し{{c1::コンパイルエラー}}になる。","【解説】<br>メソッドシグネチャは名前とパラメータ型リストだけで決まり戻り値型は含まれないため、「同じシグネチャで戻り値型だけ違う」2つのメソッドは同居できない。レコードの自動生成アクセサと`default`メソッドの戻り値型は一致させる必要がある。","java chapter4 record cloze"
 "`float f() { return 1.0f; }`に対して、`float a = f();`と`double b = f();`はどちらもコンパイル可能であり、後者では{{c1::float → double}}の{{c2::暗黙の拡大変換}}が行われる。","【解説】<br>`float`から`double`への変換は情報を失わない（とみなされる）ため、キャストなしで自動的に行われる。逆に`double`から`float`への代入は縮小変換となり、明示的キャストが必要になる。<br><pre><code>float f() { return 1.0f; }<br>float a = f();   // OK<br>double b = f();  // OK: 拡大変換<br>// float c = b;  // NG: 縮小変換、キャスト要</code></pre>","java chapter4 float cloze"
 "Javaで参照型のフィールド変更は{{c1::ヒープ上のオブジェクト}}に対する操作なので、同じ参照を共有する全ての変数からその変更が{{c2::観測}}できる。","【解説】<br>メソッド内外で同じインスタンスを指しているとき、そのインスタンスの状態を変更すれば両方に影響する。これが「参照の値渡し」を理解するうえでの本質である。<br><pre><code>class Box { int value; }<br>void fill(Box box) { box.value = 10; }<br>Box b = new Box();<br>fill(b);<br>// b.valueは10</code></pre>","java chapter4 reference cloze"
