"配列の有効なインデックス範囲は {{c1::0}} 以上 {{c2::length - 1}} 以下である。","【解説】<br>Java配列は0始まりで、最後の要素インデックスは常に`length - 1`です。<br><pre><code>int[] seats = new int[5]; // 有効インデックス: 0〜4</code></pre>","java blackbook chapter6 exceptions array index_out_of_bounds cloze"
"Listの有効なインデックス範囲は {{c1::0}} 以上 {{c2::size() - 1}} 以下である。","【解説】<br>`List`も配列と同様に0始まりで、最大インデックスは`size() - 1`になります。","java blackbook chapter6 exceptions list index_out_of_bounds cloze"
"Stringの有効なインデックス範囲は {{c1::0}} 以上 {{c2::length() - 1}} 以下である。","【解説】<br>`String s = \"abc\";`なら、有効インデックスは0,1,2で、`s.charAt(3)`は範囲外です。","java blackbook chapter6 exceptions string index_out_of_bounds cloze"
"配列で範囲外インデックスにアクセスすると、実行時に {{c1::ArrayIndexOutOfBoundsException}} がスローされる。","【解説】<br>配列専用の範囲外例外クラスであり、スタックトレースからバグの種類を特定しやすくなります。<br><pre><code>int[] seats = new int[5];<br>seats[5] = 1; // ArrayIndexOutOfBoundsException</code></pre>","java blackbook chapter6 exceptions array ArrayIndexOutOfBoundsException cloze"
"Listなど一般的なコレクションで範囲外インデックスにアクセスすると、実行時に {{c1::IndexOutOfBoundsException}} がスローされる。","【解説】<br>`ArrayList`などの実装は、indexが0以上`size() - 1`以下かをチェックし、違反時にこの例外を投げます。","java blackbook chapter6 exceptions list IndexOutOfBoundsException cloze"
"Stringで範囲外インデックスにアクセスすると、実行時に {{c1::StringIndexOutOfBoundsException}} がスローされる。","【解説】<br>文字列専用の範囲外例外で、どのクラスで範囲外が起きたかを示します。","java blackbook chapter6 exceptions string StringIndexOutOfBoundsException cloze"
"配列・String・Listなどのインデックスチェックは {{c1::実行時}} に行われる。","【解説】<br>コンパイル時には一般にインデックス値を決め打ちできないため、JVMやライブラリが実行時に境界チェックします。","java blackbook chapter6 exceptions index runtime_check cloze"
"Javaでインデックスが範囲外だった場合、そのままメモリを読み書きしないように {{c1::処理を中断}} し、{{c2::例外オブジェクト}} を生成してスローする設計になっている。","【解説】<br>これは不正アクセスやメモリ破壊を防ぐための安全策です。","java blackbook chapter6 exceptions index safety_design cloze"
"Javaでは負のインデックス（例: {{c1::-1}} ）はすべて範囲外であり、対応する {{c2::IndexOutOfBoundsException系}} の例外がスローされる。","【解説】<br>Pythonのような「末尾=-1」という扱いはなく、常に0以上だけが有効です。","java blackbook chapter6 exceptions index negative cloze"
"配列やリスト変数がnullでなくても、{{c1::要素数が0}} の可能性があることに注意する必要がある。","【解説】<br>長さ0の配列や空リストは、変数は非nullですがインデックス0にもアクセスできません。","java blackbook chapter6 exceptions index empty_collection cloze"
"配列→{{c1::ArrayIndexOutOfBoundsException}}、文字列→{{c2::StringIndexOutOfBoundsException}}、Listなど→{{c3::IndexOutOfBoundsException}} という対応関係を押さえておくと、スタックトレースから原因をたどりやすい。","【解説】<br>例外クラス名を見るだけで、どの種別の範囲外かが分かります。","java blackbook chapter6 exceptions array string list index exceptions_mapping cloze"
"Javaアプリケーションの入り口は {{c1::public static void main(String[] args)}} という形で定義する。","【解説】<br>JVMはこのシグネチャの`main`を探してアプリケーションを起動します。","java blackbook chapter6 exceptions main args signature cloze"
"コマンドライン引数が0個のときでも、mainメソッドのargsには {{c1::null}} ではなく {{c2::要素数0のString配列}} が渡される。","【解説】<br>そのため、`args == null`は通常の起動では常にfalseとなり、空かどうかは`args.length == 0`で判定します。","java blackbook chapter6 exceptions main args empty_array cloze"
"mainメソッドにおけるargs.lengthは、必ず {{c1::0以上}} の整数である。","【解説】<br>argsがnullになることは想定されていないため、lengthの呼び出しは常に安全です（少なくともnullという意味では）。","java blackbook chapter6 exceptions main args length cloze"
"「配列変数がnullである」ことは、{{c1::配列オブジェクトそのものが存在しない}} 状態を意味する。","【解説】<br>この状態でメソッド呼び出しやインデックスアクセスを行うと`NullPointerException`の原因になります。","java blackbook chapter6 exceptions array null_definition cloze"
"「配列の長さが0である」ことは、{{c1::配列オブジェクトは存在する}} が {{c2::中身が1つもない}} 状態を意味する。","【解説】<br>変数は非nullですが、`length`が0なのでどのインデックスにもアクセスできません。","java blackbook chapter6 exceptions array length_zero_definition cloze"
"try-catch-finally構文で許される並びは {{c1::try { ... } catch(...) { ... } finally { ... }}} と {{c2::try { ... } finally { ... }}} の2パターンだけである。","【解説】<br>catchだけ、finallyだけ、などのバリエーションは存在せず、この2つに集約されます。","java blackbook chapter6 exceptions try_catch_finally syntax cloze"
"catch節は {{c1::0個以上}}、finally節は {{c2::0または1個}} という個数制約がある。","【解説】<br>catchは複数書けますが、finallyは1つだけです。","java blackbook chapter6 exceptions try_catch_finally count cloze"
