"コードを読むときは、まず {{c1::構文レベル（文法レベル）}}、次に {{c2::型レベル（型チェック）}}、最後に {{c3::到達可能性（unreachable code）}} を確認する。","【解説】<br>「コンパイルが通るか？」を判断するための3本柱がこの順番。<br>この順序で見ることで、エラーを効率よく切り分けできる。","java code-reading compile-order cloze"
"構文レベルのチェックでは、{{c1::`class`}} / {{c2::`if`}} / {{c3::`{` と `}`}} / {{c4::`;`}} などが正しく閉じているか確認する。","【解説】<br>これらはソースコードの骨格を形作る要素で、対応関係が崩れるとコンパイルが通らない。<br>まずは「文章として成り立っているか」を押さえる。","java code-reading syntax cloze"
"型レベルのチェックでは、メソッド呼び出しの {{c1::引数の型}} が宣言された {{c2::パラメータ型}} と合っているか確認する。","【解説】<br>代表例として、`fill(Box box)` に `fill(b.value)`（`int`）を渡してしまうケースがある。<br><pre><code>class Box {}<br>void fill(Box box) { /*...*/ }<br>int value = 10;<br>fill(value); // 引数の型が合っておらず型エラー</code></pre>","java code-reading type-check cloze"
"型レベルのチェックでは、代入文の {{c1::左辺の型}} と {{c2::右辺の型}} が一致しているか（互換性があるか）を確認する。","【解説】<br>`String s = 10;` のように、`String` に `int` を代入しようとすると型エラーになる。<br><pre><code>// 誤りの例<br>String s = 10; // 左右の型が一致していない</code></pre>","java code-reading type-check cloze"
"オーバーロードされたメソッド呼び出しでは、解決不能になっていないか、あるいは {{c1::曖昧さ}} がないかを確認する。","【解説】<br>複数のシグネチャが同じくらいマッチしてしまうと、コンパイラは「どれを呼ぶべきか」決められずエラーとなる。<br>このため、オーバーロード設計と呼び出し側の型は慎重に扱う必要がある。","java code-reading type-check cloze"
"到達可能性のチェックでは、{{c1::`return`}} / {{c2::`throw`}} / {{c3::`while(true)`}} などの後ろに文が続いていないかを確認する。","【解説】<br>これらの後に書かれたコードは実行されないため、到達不能コードになりうる。<br>Javaでは到達不能コードもコンパイルエラーの対象となる。","java code-reading reachability cloze"
"到達不能コードの具体例として、`if (cond) { return; {{c1::System.out.println(\"ここは到達不能でエラー\");}} }` の {{c2::`System.out.println` の行}} はエラーとなる。","【解説】<br>`return;` の後には制御が戻らないため、その行の後ろにある文には到達しない。<br><pre><code>if (cond) {<br>    return;<br>    System.out.println(\"ここは到達不能でエラー\"); // 到達不能コード<br>}</code></pre>","java code-reading reachability cloze"
"{{c1::`if (true)`}} や `if (false)` のように、コンパイラが条件を確定的に判断できる場合、その結果として一部のコードが {{c2::到達不能コード}} になることがある。","【解説】<br>`if (false) { ... }` ブロック内は絶対に実行されないため、コンパイラは到達不能と判断できる。<br>こうしたコードもコンパイルエラーの原因になりうる。","java code-reading reachability cloze"
"構文エラーや型エラー、到達不能コードなどで {{c1::コンパイルが通らない}} と分かった時点で、{{c2::実行結果の想像}} は打ち切るべきである。","【解説】<br>コンパイルが通らないコードは実行されないため、「出力結果」や「動き」を考えても意味がない。<br>その時間は、エラーの原因の特定と修正に回した方が良い。","java code-reading mindset cloze"
"コンパイルが通らないコードでは、「どこが・なぜ通らないか」を説明できるようにし、{{c1::実行結果を考えることには意味がない}} と割り切る。","【解説】<br>試験でも実務でも、「なぜコンパイルが通らないか」を具体的に説明できることが重要。<br>一方で、存在しない実行結果を議論するのは時間の無駄である。","java code-reading mindset cloze"
"{{c1::構文}}・{{c2::型}}・{{c3::到達可能性}} の3つがすべて問題ないと判断できたとき、そこで初めて {{c4::実行時の動き}} を追う。","【解説】<br>この順序を守ることで、「そもそもコンパイルが通らないコードの実行結果」を考えるミスを防げる。<br>実行パスの追跡は、この3段階をクリアした後にだけ行う。","java code-reading compile-order cloze"
"実行時の動きを追う段階では、変数に何が入るか、{{c1::どのメソッドが実際に呼ばれるか}}、{{c2::どの順番で出力されるか}} を制御構造に沿って追いかける。","【解説】<br>ここでは `if` や `for`、メソッド呼び出し、オーバーロードやオーバーライドなどを考慮しながら、実行パスを一歩ずつたどる。<br>この作業は、コンパイル可能性を確認した後にのみ意味を持つ。","java code-reading runtime cloze"
"コードを読むとき、頭の中で最初に立てる問いは {{c1::「このコード、まずコンパイル通る？」}} である。","【解説】<br>この問いが出発点になることで、自然と構文→型→到達可能性という順序でコードを見ることになる。<br>結果として、余計な実行結果の想像を減らし、効率的な理解につながる。","java code-reading mindset cloze"
"この読み方をテンプレにして身につけると、{{c1::試験問題}} も {{c2::実務のコードレビュー}} も楽になる。","【解説】<br>試験では定番の「コンパイルの可否」「実行結果」を系統的に判断できるようになり、レビューでは漏れの少ないチェックを毎回同じ手順で行える。<br>習慣化が大きな効果を生む。","java code-reading exam review mindset cloze"
"コードを読むときの基本テンプレは、{{c1::構文 → 型 → 到達可能性 → 実行時の動き}} という順番である。","【解説】<br>この順番を意識して繰り返し使うことで、体に染み込み、無意識でも同じ流れでコードを評価できるようになる。<br>その結果、理解のスピードと正確さが向上する。","java code-reading compile-order mindset cloze"
