"配列でアクセスできるインデックスの最小値は？","配列の有効なインデックス範囲は0以上です。<br>最小インデックスは常に0になります。<br><br>【解説】<br>Javaの配列は0から始まるインデックスを採用しています。例えば`new int[5]`の場合、インデックスは`0,1,2,3,4`となり、`-1`や`5`は範囲外です。<br><pre><code>int[] seats = new int[5]; // 有効インデックス: 0〜4</code></pre>","java blackbook chapter6 exceptions array index out_of_bounds basic"
"配列の最大インデックスは？","配列の最大インデックスは`length - 1`です。<br><br>【解説】<br>`int[] seats = new int[5];`であれば、`length`は5なので最大インデックスは`5 - 1 = 4`です。`array[length]`にアクセスすると必ず範囲外になり、`ArrayIndexOutOfBoundsException`が発生します。<br><pre><code>int[] seats = new int[5];<br>// seats[4] はOK、seats[5] は例外</code></pre>","java blackbook chapter6 exceptions array index out_of_bounds basic"
"Listでアクセスできるインデックスの最小値は？","`List`でアクセスできるインデックスの最小値は0です。<br><br>【解説】<br>配列と同様に`List`も0始まりです。例えば`List<String> list = new ArrayList<>();`で要素を3つ追加した場合、有効インデックスは`0,1,2`です。`list.get(-1)`や`list.get(3)`は範囲外になります。","java blackbook chapter6 exceptions list index_out_of_bounds basic"
"Listの最大インデックスは？","`List`の最大インデックスは`size() - 1`です。<br><br>【解説】<br>`list.size()`が3なら、有効インデックスは`0,1,2`で、`size() - 1`が最大インデックスです。`list.get(list.size())`は範囲外アクセスで`IndexOutOfBoundsException`になります。","java blackbook chapter6 exceptions list index_out_of_bounds basic"
"Stringでアクセスできるインデックスの最小値は？","`String`でアクセスできるインデックスの最小値は0です。<br><br>【解説】<br>`String s = \"abc\";`なら、`charAt(0)`が先頭文字、`charAt(1)`が2文字目…となり、負のインデックスはすべて不正です。","java blackbook chapter6 exceptions string index_out_of_bounds basic"
"Stringの最大インデックスは？","`String`の最大インデックスは`length() - 1`です。<br><br>【解説】<br>`String s = \"abc\";`なら`length()`は3なので、有効インデックスは`0,1,2`です。`s.charAt(3)`は範囲外になり`StringIndexOutOfBoundsException`が発生します。","java blackbook chapter6 exceptions string index_out_of_bounds basic"
"配列の範囲外インデックスにアクセスすると、どの例外が発生する？","`ArrayIndexOutOfBoundsException`が実行時にスローされます。<br><br>【解説】<br>配列は0〜`length - 1`の範囲だけが有効で、それ以外にアクセスするとJVMがチェックして例外を投げます。<br><pre><code>int[] seats = new int[5];<br>seats[5] = 1; // ArrayIndexOutOfBoundsException</code></pre>","java blackbook chapter6 exceptions array ArrayIndexOutOfBoundsException basic"
"Listなど一般的なコレクションで範囲外インデックスにアクセスすると、どの例外が発生する？","`IndexOutOfBoundsException`が実行時にスローされます。<br><br>【解説】<br>`List`の実装（`ArrayList`など）は`0`以上`size() - 1`以下かをチェックし、範囲外なら`IndexOutOfBoundsException`を投げます。配列とは別の例外クラスである点に注意します。","java blackbook chapter6 exceptions list IndexOutOfBoundsException basic"
"Stringで範囲外インデックスにアクセスすると、どの例外が発生する？","`StringIndexOutOfBoundsException`が実行時にスローされます。<br><br>【解説】<br>`String`は内部的に文字配列のような連続領域を持ちますが、範囲外アクセス時には`StringIndexOutOfBoundsException`という専用の例外が用意されています。スタックトレースからバグ箇所を特定するヒントになります。","java blackbook chapter6 exceptions string StringIndexOutOfBoundsException basic"
"配列・List・Stringのインデックスチェックは、いつ行われる？（コンパイル時か実行時か）","実行時に行われます。<br><br>【解説】<br>Javaコンパイラは定数式でない限りインデックスの正当性を静的には判断できません。そのため、JVMやライブラリが実行時に「0以上かつ要素数未満か」をチェックし、違反していれば例外をスローします。","java blackbook chapter6 exceptions index runtime_check basic"
"Javaの配列やString、Listでインデックスが範囲外だったとき、JVMはなぜ例外をスローする設計になっている？","不正なメモリアクセスを防ぎ、安全に処理を中断するためです。<br><br>【解説】<br>範囲外インデックスのまま生メモリを読み書きすると、他のデータを壊したり、未定義動作を引き起こします。Javaは安全性重視の設計のため、境界チェックで検出した時点で例外を投げて処理を止めます。","java blackbook chapter6 exceptions index safety_design basic"
"ベンチの例えで、配列のインデックス0〜4は何に対応していた？","5人掛けベンチの「左から0〜4番の席」に対応していました。<br><br>【解説】<br>ベンチの席番号をインデックスとみなすことで、「存在しない席番号＝範囲外インデックス」という直感的イメージが得られます。6人目が「5番の席」に座ろうとするのが`seats[5]`アクセスに相当します。","java blackbook chapter6 exceptions index analogy basic"
"ベンチの例えで、「案内係がその席はありませんと言って対応を止める」ことは、プログラム上で何に対応する？","例外をスローして処理を中断することに対応します。<br><br>【解説】<br>存在しない席番号の要求を受けた案内係が処理を打ち切るのと同様、Javaは範囲外アクセスを検出したら例外をスローし、それ以上処理を進めません。これにより、異常な状態を早期に表面化させます。","java blackbook chapter6 exceptions index analogy exception basic"
