"Javaのrecordの主目的は何か？","主目的は、変更されないデータ（不変データ）を保持して運ぶことです。<br><br>【解説】<br>recordは振る舞い中心の型よりも、データキャリアとしての役割を明示するための構文です。<br><pre><code>public record Person(String name, int age) {}</code></pre>","java record purpose basic"
"recordは通常のクラスとどう違う位置づけか？","recordは不変データの運搬を目的にした特別なクラスです。<br><br>【解説】<br>通常クラスでも同等機能は実装できますが、recordは言語レベルでデータキャリア意図を表現します。<br><pre><code>public class Person {<br>    private final String name;<br>    private final int age;<br>}</code></pre>","java record definition basic"
"recordはどのJavaバージョンでプレビュー登場したか？","Java 14です。<br><br>【解説】<br>段階的導入として、最初はプレビュー機能として提供されました。<br><pre><code>// Java 14: preview feature</code></pre>","java record history basic"
"recordはどのJavaバージョンで正式導入されたか？","Java 16です。<br><br>【解説】<br>正式導入により、実運用で使う前提の言語機能になりました。<br><pre><code>// Java 16: standardized (JEP 395)</code></pre>","java record history basic"
"recordの正式導入を定義したJEPは何か？","JEP 395です。<br><br>【解説】<br>仕様背景を追う際はJEP番号が一次情報の起点になります。<br><pre><code>// JEP 395: Records</code></pre>","java record history basic"
"従来のPOJOでデータキャリアを作る際に問題になりやすい点は何か？","定型コード（ボイラープレート）が多くなる点です。<br><br>【解説】<br>実質的に同じコードをクラスごとに繰り返し記述しがちです。<br><pre><code>public Person(String name, int age) { ... }<br>public String getName() { ... }<br>public int hashCode() { ... }</code></pre>","java record comparison basic"
"従来POJOで手書きまたはIDE生成が必要になりやすい代表メソッド群は？","コンストラクタ、ゲッター、equals、hashCode、toStringです。<br><br>【解説】<br>recordはこの一式をコンポーネント定義から自動生成できます。<br><pre><code>public String getName() { return name; }<br>@Override public boolean equals(Object o) { ... }<br>@Override public int hashCode() { ... }</code></pre>","java record comparison basic"
"recordを使うと何が明確になるか？","『これは単なるデータの集まりである』というクラスの意図が明確になります。<br><br>【解説】<br>コード読解時に責務が一目で伝わるため、保守性が上がります。<br><pre><code>public record Person(String name, int age) {}</code></pre>","java record readability basic"
"record宣言ヘッダの括弧内に書く要素の名称は何か？","コンポーネントです。<br><br>【解説】<br>コンポーネント定義が、フィールド・アクセサ・equals等の生成元になります。<br><pre><code>public record Person(String name, int age) {}<br>// name, age がコンポーネント</code></pre>","java record component basic"
"recordで1行定義しても機能が成立する理由は何か？","コンパイラがコンポーネントを基に必要メソッドを自動生成するためです。<br><br>【解説】<br>宣言的記述で、同等のデータキャリア機能を得られます。<br><pre><code>public record Person(String name, int age) {}</code></pre>","java record compiler basic"
