インタフェースの役割は何か？	クラスに「このメソッド群を必ず持て」と約束する型。<br><br>インタフェースは、クラスに対して「これらのメソッドを必ず持ちなさい」という契約だけを定める型です。具体的な処理（実装）は通常クラス側に任され、インタフェースは「どんな操作ができるか」という外側の仕様だけを揃えるために使われます。Chapter5_weakPoints_onceの`interface Printer { void print(); }`の例では、「`print()`を必ず持て」という約束だけが書かれていることが分かります。	java インタフェース Chapter5
`default`メソッドとはインタフェース内でどのようなメソッドか？	標準実装付きで定義されたメソッド。<br><br>`default`メソッドは、インタフェースの中に「とりあえずこの動きにしておくね」という標準実装を持つメソッドです。これにより、既存の実装クラスを壊さずにインタフェースへメソッドを追加したり、典型的な処理をインタフェース側で共有したりできます。Chapter5_weakPoints_onceにある`interface Greeter { default void greet() { System.out.println("Hello!"); } }`の例では、`greet()`の標準実装がインタフェース側に用意されています。	java インタフェース default Chapter5
インタフェースの`default`メソッドは実装クラスでオーバーライドしなかった場合どうなるか？	インタフェース側の実装がそのまま使われる。<br><br>実装クラスが`default`メソッドを自分で書き直さない限り、インタフェースで定義された実装がそのまま呼び出されます。必要な場合だけ実装クラス側でオーバーライドし、そうでなければ共通の標準動作を使えるのが利点です。	java インタフェース default Chapter5
Java 9以降、インタフェース内の`private`メソッドの主な目的は何か？	複数のdefaultメソッドで使う共通処理をまとめること。<br><br>インタフェース内の`private`メソッドは、外部からは呼べず、インタフェースの`default`メソッド（や他のprivateメソッド）からだけ利用できるヘルパーです。これにより、`default`メソッド同士で重複する処理を1か所にまとめて保守性を上げられます。Chapter5_weakPoints_onceの`interface Calculator { default int addAndDouble(...) { return doubleValue(add(a, b)); } private int add(...) { ... } private int doubleValue(...) { ... } }`のように、`add`と`doubleValue`を`private`にして`addAndDouble`からだけ呼ぶパターンが典型例です。	java インタフェース private Chapter5
インタフェース内の`private`メソッドはどこから呼び出せるか？	インタフェース内からだけ呼び出せる。<br><br>`private`なので、インタフェースの外側や実装クラスからは直接呼び出せません。インタフェースの中専用の共通処理として隠しておくことで、APIをシンプルに保ちつつ内部実装を整理できます。	java インタフェース private Chapter5
全てのクラスの親クラスは何か？	`Object`。<br><br>Javaでは、どんなクラスも最終的には`java.lang.Object`を継承しています。そのため、`toString`や`equals`、`hashCode`などのメソッドはすべてのクラスが最初から持っています。	java Object Chapter5
インタフェースに`toString()`など`Object`由来メソッドを書いたとき何をしているとみなせるか？	既に存在するメソッドをインタフェースとして約束し直している。<br><br>`toString()`などはクラスに元々存在するので、インタフェース側で宣言しても「新しいメソッドを増やす」のではありません。「このインタフェースを実装するなら、`toString()`の契約も守ってね」と改めて約束し直しているイメージです。	java Object インタフェース Chapter5
抽象クラスとはどのようなクラスか？	abstractが付き途中まで書かれた設計図で直接newできないクラス。<br><br>抽象クラスは「共通部分だけ先に書いておき、残りはサブクラスに任せる」ためのクラスです。`abstract`修飾子が付き、単体では不完全な設計図なのでインスタンス化（`new`）はできず、必ずサブクラスを通じて使います。	java 抽象クラス Chapter5
抽象メソッドとはどのようなメソッドか？	本体がなくシグニチャだけ書かれたメソッド。<br><br>抽象メソッドは「戻り値の型・名前・引数」だけを宣言し、処理の中身を一切書かないメソッドです。どのように振る舞うかはサブクラス側の実装に任せることで、共通のインタフェースだけを親クラスで強制できます。	java 抽象メソッド Chapter5
抽象メソッドを1つでも持つクラスは必ずどうなるか？	抽象クラスになる。<br><br>クラスが抽象メソッドを含んでいるということは、そのクラス単体では振る舞いが未完成であることを意味します。そのため、少なくとも1つ抽象メソッドを持つクラスは必ず`abstract`クラスとして宣言しなければなりません。	java 抽象クラス 抽象メソッド Chapter5
